Child_ID,Exam,Goal,Grade,main_learnpath,Title,Format_refrence,Topic_learnpath_name,Video_ID
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Components of Food,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food variety,5912159
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Food and Growth,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food variety,5912160
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Nutrients and Minerals in Common Food Items,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food variety,5912161
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Food and Fun,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food variety,5912162
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Sources of Food,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food materials and sources,5914397
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Nutrients in Food,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food materials and sources,5912163
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Nutrients in Common Food Items,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food materials and sources,5912164
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Spices in Our Food,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food materials and sources,5914398
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Food and its Components,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food materials and sources,5914399
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Modifications in Plants for Food Storage.,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--plant parts and animal products as food,5939675
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Apiculture and its Products,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--plant parts and animal products as food,5914400
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,How is Honey Made?,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--plant parts and animal products as food,5914401
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,Organisms and Food Chains,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--what do animals eat,5914402
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,"Food Components, what makes up what we eat?",5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--food and its components,5912165
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Importance of Roughage,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--food and its components,5912166
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Nutrients in Common Food Items,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--food and its components,5914403
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,"Simple tests for carbohydrates, fats and proteins",5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--biochemical tests,5914404
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Nutrients in Food,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--importance of nutrients,5912167
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Diet related disorder (Obesity),5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--balanced diet,5914405
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,"Deficiency diseases (Vitamin A, B₁, C)",5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--deficiency diseases,5914406
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Vitamin Deficiency Disorders,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--deficiency diseases,5912168
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Mineral deficiency diseases,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--deficiency diseases,5914407
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,Types of Plants,5ec5867a0c88fe5860961943,"cbse--6th cbse--science--biology--getting to know plants--herbs, shrubs, and trees",5912173
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,"Annual, biennial and perennial plants",5ec5867a0c88fe5860961943,"cbse--6th cbse--science--biology--getting to know plants--herbs, shrubs, and trees",5914413
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,Ascent of Sap,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--getting to know plants--stem,5912174
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,The Leaf,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--getting to know plants--leaf,5914414
